year,physics,chemistry,medicine,literature,peace,economics
1961.0,Robert Hofstadter;Rudolf Mössbauer,Melvin Calvin,Georg von Békésy,Ivo Andrić,Dag Hammarskjöld,No award this year
1962.0,Lev Landau,Max Perutz;John Kendrew,Francis Crick;James Watson;Maurice Wilkins,John Steinbeck,Linus Pauling,No award this year
1963.0,Eugene Wigner;Maria Goeppert Mayer;J. Hans D. Jensen,Karl Ziegler;Giulio Natta,John Eccles;Alan Hodgkin;Andrew Huxley,Giorgos Seferis,International Committee of the Red Cross;League of Red Cross societies,No award this year
1964.0,Charles H. Townes;Nikolay Basov;Alexander Prokhorov,Dorothy Hodgkin,Konrad Emil Bloch;Feodor Lynen,Jean-Paul Sartre[e],Martin Luther King Jr.,No award this year
1965.0,Shin'ichirō Tomonaga;Julian Schwinger;Richard Feynman,Robert Burns Woodward,François Jacob;André Michel Lwoff;Jacques Monod,Mikhail Sholokhov,United Nations International Children's Emergency Fund,No award this year
1966.0,Alfred Kastler,Robert S. Mulliken,Francis Peyton Rous;Charles Brenton Huggins,Shmuel Yosef Agnon;Nelly Sachs,No award this year,No award this year
1967.0,Hans Bethe,Manfred Eigen;Ronald George Wreyford Norrish;George Porter,Ragnar Granit;Haldan Keffer Hartline;George Wald,Miguel Ángel Asturias,No award this year,No award this year
1968.0,Luis Walter Alvarez,Lars Onsager,Robert W. Holley;Har Gobind Khorana;Marshall Warren Nirenberg,Yasunari Kawabata,René Cassin,No award this year
1969.0,Murray Gell-Mann,Derek Barton;Odd Hassel,Max Delbrück;Alfred Hershey;Salvador Luria,Samuel Beckett,International Labour Organization,Ragnar Frisch;Jan Tinbergen
1970.0,Hannes Alfvén;Louis Néel,Luis Federico Leloir,Julius Axelrod;Ulf von Euler;Bernard Katz,Aleksandr Solzhenitsyn,Norman Borlaug,Paul Samuelson
1971.0,Dennis Gabor,Gerhard Herzberg,Earl Wilbur Sutherland Jr.,Pablo Neruda,Willy Brandt,Simon Kuznets
1972.0,John Bardeen;Leon Cooper;John Robert Schrieffer,Christian B. Anfinsen;Stanford Moore;William Howard Stein,Gerald Edelman;Rodney Robert Porter,Heinrich Böll,No award this year,John Hicks;Kenneth Arrow
1973.0,Leo Esaki;Ivar Giaever;Brian Josephson,Ernst Otto Fischer;Geoffrey Wilkinson,Karl von Frisch;Konrad Lorenz;Nikolaas Tinbergen,Patrick White,Henry Kissinger;Lê Đức Thọ[f],Wassily Leontief
1974.0,Martin Ryle;Antony Hewish,Paul Flory,Albert Claude;Christian de Duve;George Emil Palade,Eyvind Johnson;Harry Martinson,Seán MacBride;Eisaku Satō,Gunnar Myrdal;Friedrich Hayek
1975.0,Aage Bohr;Ben Roy Mottelson;James Rainwater,John Cornforth;Vladimir Prelog,David Baltimore;Renato Dulbecco;Howard Martin Temin,Eugenio Montale,Andrei Sakharov,Leonid Kantorovich;Tjalling Koopmans
1976.0,Burton Richter;Samuel C. C. Ting,William Lipscomb,Baruch Samuel Blumberg;Daniel Carleton Gajdusek,Saul Bellow,Betty Williams;Mairead Maguire,Milton Friedman
1977.0,Philip W. Anderson;Nevill Francis Mott;John Hasbrouck Van Vleck,Ilya Prigogine,Roger Guillemin;Andrew Schally;Rosalyn Sussman Yalow,Vicente Aleixandre,Amnesty International,Bertil Ohlin;James Meade
1978.0,Pyotr Kapitsa;Arno Allan Penzias;Robert Woodrow Wilson,Peter D. Mitchell,Werner Arber;Daniel Nathans;Hamilton O. Smith,Isaac Bashevis Singer,Anwar Sadat;Menachem Begin,Herbert A. Simon
1979.0,Sheldon Glashow;Abdus Salam;Steven Weinberg,Herbert C. Brown;Georg Wittig,Allan McLeod Cormack;Godfrey Hounsfield,Odysseas Elytis,Mother Teresa,Theodore Schultz;W. Arthur Lewis
1980.0,James Cronin;Val Logsdon Fitch,Paul Berg;Walter Gilbert;Frederick Sanger,Baruj Benacerraf;Jean Dausset;George Davis Snell,Czesław Miłosz,Adolfo Pérez Esquivel,Lawrence Klein
1981.0,Nicolaas Bloembergen;Arthur Leonard Schawlow;Kai Siegbahn,Kenichi Fukui;Roald Hoffmann,Roger Wolcott Sperry;David H. Hubel;Torsten Wiesel,Elias Canetti,United Nations High Commissioner for Refugees,James Tobin
1982.0,Kenneth G. Wilson,Aaron Klug,Sune Bergström;Bengt I. Samuelsson;John Vane,Gabriel García Márquez,Alva Myrdal;Alfonso García Robles,George Stigler
1983.0,Subrahmanyan Chandrasekhar;William Alfred Fowler,Henry Taube,Barbara McClintock,William Golding,Lech Wałęsa,Gérard Debreu
1984.0,Carlo Rubbia;Simon van der Meer,Robert Bruce Merrifield,Niels Kaj Jerne;Georges J. F. Köhler;César Milstein,Jaroslav Seifert,Desmond Tutu,Richard Stone
1985.0,Klaus von Klitzing,Herbert A. Hauptman;Jerome Karle,Michael Stuart Brown;Joseph L. Goldstein,Claude Simon,International Physicians for the Prevention of Nuclear War,Franco Modigliani
1986.0,Ernst Ruska;Gerd Binnig;Heinrich Rohrer,Dudley R. Herschbach;Yuan T. Lee;John Polanyi,Stanley Cohen;Rita Levi-Montalcini,Wole Soyinka,Elie Wiesel,James M. Buchanan
1987.0,Georg Bednorz;K. Alex Müller,Donald J. Cram;Jean-Marie Lehn;Charles J. Pedersen,Susumu Tonegawa,Joseph Brodsky,Óscar Arias,Robert Solow
1988.0,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Johann Deisenhofer;Robert Huber;Hartmut Michel,James W. Black;Gertrude B. Elion;George H. Hitchings,Naguib Mahfouz,United Nations peacekeeping forces,Maurice Allais
1989.0,Norman Ramsey Jr.;Hans Georg Dehmelt;Wolfgang Paul,Sidney Altman;Thomas Cech,J. Michael Bishop;Harold E. Varmus,Camilo José Cela,Tenzin Gyatso (The 14th Dalai Lama),Trygve Haavelmo
1990.0,Jerome Isaac Friedman;Henry Way Kendall;Richard E. Taylor,Elias James Corey,Joseph Murray;E. Donnall Thomas,Octavio Paz,Mikhail Gorbachev,Harry Markowitz;Merton Miller;William F. Sharpe
1991.0,Pierre-Gilles de Gennes,Richard R. Ernst,Erwin Neher;Bert Sakmann,Nadine Gordimer,Aung San Suu Kyi,Ronald Coase
1992.0,Georges Charpak,Rudolph A. Marcus,Edmond H. Fischer;Edwin G. Krebs,Derek Walcott,Rigoberta Menchú,Gary Becker
1993.0,Russell Alan Hulse;Joseph Hooton Taylor Jr.,Kary Mullis;Michael Smith,Richard J. Roberts;Phillip Allen Sharp,Toni Morrison,Nelson Mandela;F. W. de Klerk,Robert Fogel;Douglass North
1994.0,Bertram Brockhouse;Clifford Shull,George Andrew Olah,Alfred G. Gilman;Martin Rodbell,Kenzaburō Ōe,Yasser Arafat;Shimon Peres;Yitzhak Rabin,John Harsanyi;John Forbes Nash Jr.;Reinhard Selten
1995.0,Martin Lewis Perl;Frederick Reines,Paul J. Crutzen;Mario J. Molina;F. Sherwood Rowland,Edward B. Lewis;Christiane Nüsslein-Volhard;Eric F. Wieschaus,Seamus Heaney,Joseph Rotblat;Pugwash Conferences on Science and World Affairs,Robert Lucas Jr.
1996.0,David Lee;Douglas Osheroff;Robert Coleman Richardson,Robert Curl;Harry Kroto;Richard Smalley,Peter C. Doherty;Rolf M. Zinkernagel,Wisława Szymborska,Carlos Filipe Ximenes Belo;José Ramos-Horta,James Mirrlees;William Vickrey
1997.0,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,Paul D. Boyer;John E. Walker;Jens Christian Skou,Stanley B. Prusiner,Dario Fo,International Campaign to Ban Landmines;Jody Williams,Robert C. Merton;Myron Scholes
1998.0,Robert B. Laughlin;Horst Ludwig Störmer;Daniel C. Tsui,Walter Kohn;John Pople,Robert F. Furchgott;Louis Ignarro;Ferid Murad,José Saramago,John Hume;David Trimble,Amartya Sen
1999.0,Gerard 't Hooft;Martinus J. G. Veltman,Ahmed Zewail,Günter Blobel,Günter Grass,Médecins Sans Frontières,Robert Mundell
2000.0,Jack Kilby;Zhores Alferov;Herbert Kroemer,Alan J. Heeger;Alan MacDiarmid;Hideki Shirakawa,Arvid Carlsson;Paul Greengard;Eric Kandel,Gao Xingjian,Kim Dae-jung,James Heckman;Daniel McFadden
2001.0,Eric Allin Cornell;Wolfgang Ketterle;Carl Wieman,William Standish Knowles;Ryōji Noyori;Karl Barry Sharpless,Leland H. Hartwell;Tim Hunt;Paul Nurse,V. S. Naipaul,United Nations;Kofi Annan,George Akerlof;Michael Spence;Joseph Stiglitz
2002.0,Riccardo Giacconi;Raymond Davis Jr.;Masatoshi Koshiba,John B. Fenn;Koichi Tanaka;Kurt Wüthrich,Sydney Brenner;H. Robert Horvitz;John Sulston,Imre Kertész,Jimmy Carter,Daniel Kahneman;Vernon L. Smith
2003.0,Alexei Abrikosov;Vitaly Ginzburg;Anthony James Leggett,Peter Agre;Roderick MacKinnon,Paul Lauterbur;Peter Mansfield,J. M. Coetzee,Shirin Ebadi,Robert F. Engle;Clive Granger
2004.0,David Gross;Hugh David Politzer;Frank Wilczek,Aaron Ciechanover;Avram Hershko;Irwin Rose,Richard Axel;Linda B. Buck,Elfriede Jelinek,Wangari Maathai,Finn E. Kydland;Edward C. Prescott
2005.0,Roy J. Glauber;John L. Hall;Theodor W. Hänsch,Yves Chauvin;Robert H. Grubbs;Richard R. Schrock,Barry Marshall;Robin Warren,Harold Pinter,International Atomic Energy Agency;Mohamed ElBaradei,Robert Aumann;Thomas Schelling
2006.0,John C. Mather;George Smoot,Roger D. Kornberg,Andrew Fire;Craig Mello,Orhan Pamuk,Muhammad Yunus;Grameen Bank,Edmund Phelps
2007.0,Albert Fert;Peter Grünberg,Gerhard Ertl,Mario Capecchi;Martin Evans;Oliver Smithies,Doris Lessing,Intergovernmental Panel on Climate Change;Al Gore,Leonid Hurwicz;Eric Maskin;Roger Myerson
2008.0,Yoichiro Nambu;Makoto Kobayashi;Toshihide Maskawa,Osamu Shimomura;Martin Chalfie;Roger Y. Tsien,Harald zur Hausen;Françoise Barré-Sinoussi;Luc Montagnier,J. M. G. Le Clézio,Martti Ahtisaari,Paul Krugman
2009.0,Charles K. Kao;Willard S. Boyle;George E. Smith,Venkatraman Ramakrishnan;Thomas A. Steitz;Ada Yonath,Elizabeth Blackburn;Carol W. Greider;Jack W. Szostak,Herta Müller,Barack  Obama,Elinor Ostrom;Oliver E. Williamson
2010.0,Andre Geim;Konstantin Novoselov,Richard F. Heck;Ei-ichi Negishi;Akira Suzuki,Robert Edwards,Mario Vargas Llosa,Liu Xiaobo[g],Peter A. Diamond;Dale T.  Mortensen;Christopher A.  Pissarides
2011.0,Saul Perlmutter;Adam Riess;Brian Schmidt,Dan Shechtman,Bruce Beutler;Jules A. Hoffmann;Ralph M. Steinman,Tomas Tranströmer,Ellen Johnson Sirleaf;Leymah Gbowee;Tawakel Karman,Thomas J. Sargent;Christopher A. Sims
2012.0,Serge Haroche;David J. Wineland,Brian K. Kobilka;Robert J. Lefkowitz,John B. Gurdon; Shinya Yamanaka,Mo Yan,European Union,Alvin E. Roth;Lloyd S. Shapley
2013.0,François Englert;Peter W. Higgs,Martin Karplus;Michael Levitt;Arieh Warshel,James E. Rothman;Randy W. Schekman;Thomas C. Südhof,Alice Munro,Organisation for the Prohibition of Chemical Weapons,Eugene F. Fama;Lars Peter Hansen;Robert J. Shiller
2014.0,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,Eric Betzig;Stefan Hell;William Moerner,John O'Keefe;May-Britt Moser;Edvard Moser,Patrick Modiano,Kailash Satyarthi;Malala Yousafzai,Jean Tirole
2015.0,Takaaki Kajita;Arthur B. McDonald,Tomas Lindahl;Paul L. Modrich;Aziz Sancar,William C. Campbell;Satoshi Ōmura;Tu Youyou,Svetlana Alexievich,Tunisian National Dialogue Quartet,Angus Deaton
2016.0,David J. Thouless;Duncan Haldane;John M. Kosterlitz,Jean-Pierre Sauvage;Fraser Stoddart;Ben Feringa,Yoshinori Ohsumi,Bob Dylan,Juan Manuel Santos,Oliver Hart;Bengt R. Holmström
2017.0,Rainer Weiss;Barry Barish;Kip Thorne,Jacques Dubochet;Joachim Frank;Richard Henderson,Jeffrey C. Hall;Michael Rosbash;Michael W. Young,Kazuo Ishiguro,International Campaign to Abolish Nuclear Weapons,Richard Thaler
2018.0,Arthur Ashkin;Gérard Mourou;Donna Strickland,Frances H. Arnold;George Smith;Greg Winter,James P. Allison;Tasuku Honjo,Olga Tokarczuk[h],Denis Mukwege;Nadia Murad,William Nordhaus;Paul Romer
2019.0,Jim Peebles;Michel Mayor;Didier Queloz,John B. Goodenough;M. Stanley Whittingham;Akira Yoshino,William Kaelin Jr.;Peter J. Ratcliffe;Gregg L. Semenza,Peter Handke,Abiy Ahmed,Abhijit Banerjee;Esther Duflo;Michael Kremer
2020.0,Roger Penrose;Reinhard Genzel;Andrea M. Ghez,Emmanuelle Charpentier;Jennifer Doudna,Harvey J. Alter;Michael Houghton;Charles M. Rice,Louise Glück,World Food Programme,Paul Milgrom;Robert B. Wilson
2021.0,Giorgio Parisi;Klaus Hasselmann;Syukuro Manabe,Benjamin List;David MacMillan,David Julius;Ardem Patapoutian,Abdulrazak Gurnah,Maria Ressa;Dmitry Muratov,David Card;Joshua Angrist;Guido Imbens
2022.0,Alain Aspect;John Clauser;Anton Zeilinger,Carolyn Bertozzi;Morten P. Meldal;Karl Barry Sharpless,Svante Pääbo,Annie Ernaux,Ales Bialiatski;Memorial;Centre for Civil Liberties,Ben Bernanke;Douglas Diamond;Philip H. Dybvig
2023.0,Pierre Agostini;Ferenc Krausz;Anne L'Huillier,Moungi Bawendi;Louis E. Brus;Alexey Ekimov,Katalin Karikó;Drew Weissman,Jon Fosse,Narges Mohammadi,Claudia Goldin
